개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
4960000,4.96E+17,2021-03-23,,영업/정상,,,,,0,,57158,타임투반려동물 장례식장,I,L00,2025-12-15 16:15,전라남도 함평군 학교면 학교월봉길 217,정상,0,1,,,,전라남도 함평군 학교면 월산리 259 ,2022-11-22 16:02
5060000,5.06E+17,2023-03-28,,영업/정상,,,,,0,,39561,경북반려동물장례식장,I,0,2025-12-15 16:15,경상북도 김천시 봉산면 영남대로 353,정상,0,1,,,,경상북도 김천시 봉산면 신암리 396 ,2024-08-16 10:03
5080000,5.08E+17,2022-07-22,,영업/정상,,,,,0,,39102,(주)모모리아,I,L00,2025-12-15 16:15,경상북도 구미시 옥성면 이곡3길 69,정상,0,1,,314325.377,313606.2579,경상북도 구미시 옥성면 농소리 950-1 ,2025-10-22 11:01
5120000,5.12E+17,2022-06-14,,영업/정상,,,,,0,,36919,(주)젠틀펫,I,L00,2026-01-07 17:26,경상북도 문경시 문경읍 문경대로 2430,정상,0,1,,296570.1382,360655.5763,경상북도 문경시 문경읍 진안리 350-4 ,2024-07-24 13:57
5130000,5.13E+17,2019-12-23,,영업/정상,,,,,0,,38405,아이들랜드,I,L00,2025-12-15 16:15,경상북도 경산시 와촌면 불굴사길 82,정상,0,1,15226979,,,경상북도 경산시 와촌면 신한리 산 54-8 ,2022-02-14 16:17
5130000,5.13E+17,2024-07-31,,영업/정상,,,,,0,,38577,(주)젠틀펫,I,L00,2025-12-15 16:15,경상북도 경산시 한의대로 124 (점촌동),정상,0,1,,360566.8367,257900.9991,경상북도 경산시 점촌동 60-1 ,2025-03-17 16:13
5141000,5.141E+17,2024-09-04,,영업/정상,,,,,0,,43162,리틀포즈 반려동물 장례식장,I,L00,2025-12-15 16:15,대구광역시 군위군 부계면 부흥로 118,정상,0,1,,,,대구광역시 군위군 부계면 창평리 812 ,2024-09-04 15:19
5190000,5.19E+17,2015-02-02,,영업/정상,,,,,0,,38323,하얀민들레,I,0,2025-12-15 16:15,경상북도 청도군 화양읍 남성현로 852,정상,0,1,,,,경상북도 청도군 화양읍 송금리 83 ,2023-05-08 10:31
5210000,5.21E+17,2020-06-02,,영업/정상,,,,,0,,40042,강아지 펫 헤븐,I,0,2025-12-15 16:15,경상북도 성주군 선남면 관용로 427,정상,0,1,,,,경상북도 성주군 선남면 오도리 91 ,2022-01-11 17:18
5220000,5.22E+17,2020-06-03,,영업/정상,,,,,0,,39851,스윗드림 펫,I,L00,2025-12-15 16:15,경상북도 칠곡군 가산면 다부거문1길 51-68,정상,0,1,549742220,,,경상북도 칠곡군 가산면 다부리 651 ,2025-12-08 16:10
